logtime,scenario_time,type,module,address,value
3824.739332,0,version,,,1.4.1
3824.767065,0,scenario_path,,,includes\scenarios\study\full_P02.txt
3824.769083,0,seed_value,communications,,
3824.769133,0,seed_output,communications,,HJD672
3824.769255,0,seed_value,communications,,
3824.769275,0,seed_output,communications,,ZSC740
3824.769367,0,seed_value,communications,,
3824.769381,0,seed_output,communications,,HLM230
3824.769471,0,seed_value,communications,,
3824.769485,0,seed_output,communications,,SBN790
3824.769572,0,seed_value,communications,,
3824.769587,0,seed_output,communications,,PIV852
3824.769667,0,seed_value,communications,,
3824.769679,0,seed_output,communications,,DTW834
3824.769716,0,seed_value,communications,,
3824.769728,0,seed_output,communications,,135.724994
3824.769757,0,seed_value,communications,,
3824.769768,0,seed_output,communications,,114.900974
3824.769792,0,seed_value,communications,,
3824.769802,0,seed_output,communications,,114.845395
3824.769824,0,seed_value,communications,,
3824.769834,0,seed_output,communications,,126.064149
3826.093498,0,dialog,,,OpenMATB end
3826.158139,0.010695,event,instructions,filename,study/briefing_practice.txt
3826.842924,0.010695,dialog,,,Warning end
3826.849423,0.026336,aoi,instructions,background,"(0, 1067, 1707, 0)"
3826.883573,0.026336,parameter,instructions,title,
3826.883669,0.026336,parameter,instructions,taskplacement,fullscreen
3826.883695,0.026336,parameter,instructions,taskupdatetime,15
3826.883724,0.026336,parameter,instructions,taskfeedback-overdue-active,0
3826.883747,0.026336,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
3826.88377,0.026336,parameter,instructions,taskfeedback-overdue-delayms,2000
3826.883788,0.026336,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
3826.883804,0.026336,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
3826.883821,0.026336,parameter,instructions,taskfeedback-overdue-_is_visible,0
3826.883836,0.026336,parameter,instructions,boldtitle,0
3826.883851,0.026336,parameter,instructions,filename,study/briefing_practice.txt
3826.883866,0.026336,parameter,instructions,pointsize,0
3826.88388,0.026336,parameter,instructions,maxdurationsec,0
3826.883896,0.026336,parameter,instructions,response-text,Press SPACE to continue
3826.883914,0.026336,parameter,instructions,response-key,SPACE
3826.883929,0.026336,parameter,instructions,allowkeypress,1
3826.948972,0.026336,state,instructions,"background, visibility",1
3826.949055,0.026336,event,instructions,self,start
3826.954357,0.132077,state,instructions,"background, visibility",0
3826.984294,0.132077,aoi,instructions,title,"(0, 1067, 1707, 0)"
3827.013382,0.132077,aoi,instructions,press_space,"(0, 1067, 1707, 0)"
3827.129923,0.132077,aoi,instructions,instructions,"(0, 1067, 1707, 0)"
3827.130144,0.132077,state,instructions,"background, visibility",1
3828.284757,0.132077,input,keyboard,SPACE,press
3828.435453,0.132077,input,keyboard,SPACE,release
3828.436426,0.132077,state,instructions,"background, visibility",0
3828.463025,0.159155,event,sysmon,automaticsolver,0
3828.476195,0.171919,aoi,sysmon,foreground,"(0, 1013.6500000000001, 597, 533.5)"
3828.476449,0.171919,aoi,sysmon,overdue,"(0, 1013.6500000000001, 597, 533.5)"
3828.54648,0.171919,aoi,sysmon,task_title,"(0, 1067.0, 597, 1013.65)"
3828.546955,0.171919,aoi,sysmon,automode,"(253.725, 585.5162499999999, 343.275, 558.84125)"
3828.555943,0.171919,aoi,sysmon,scale1,"(44.775, 845.5975000000001, 104.475, 605.5225)"
3828.561571,0.171919,aoi,sysmon,scale2,"(194.025, 845.5975000000001, 253.72500000000002, 605.5225)"
3828.56771,0.171919,aoi,sysmon,scale3,"(343.275, 845.5975000000001, 402.97499999999997, 605.5225)"
3828.574549,0.171919,aoi,sysmon,scale4,"(492.525, 845.5975000000001, 552.225, 605.5225)"
3828.582179,0.171919,aoi,sysmon,light1,"(29.849999999999994, 965.635, 268.65, 893.6125)"
3828.589722,0.171919,aoi,sysmon,light2,"(328.35, 965.635, 567.1500000000001, 893.6125)"
3828.589831,0.171919,parameter,sysmon,title,System monitoring
3828.589862,0.171919,parameter,sysmon,taskplacement,topleft
3828.589882,0.171919,parameter,sysmon,taskupdatetime,200
3828.589907,0.171919,parameter,sysmon,taskfeedback-overdue-active,0
3828.589929,0.171919,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
3828.589948,0.171919,parameter,sysmon,taskfeedback-overdue-delayms,2000
3828.589963,0.171919,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
