logtime,scenario_time,type,module,address,value
159321.219245,0,version,,,1.4.1
159321.220464,0,scenario_path,,,includes\scenarios\study\full_P10.txt
159321.221508,0,seed_value,communications,,
159321.221526,0,seed_output,communications,,LPP463
159321.221582,0,seed_value,communications,,
159321.221591,0,seed_output,communications,,QNZ454
159321.221636,0,seed_value,communications,,
159321.221644,0,seed_output,communications,,FDV753
159321.221692,0,seed_value,communications,,
159321.2217,0,seed_output,communications,,XVZ241
159321.221747,0,seed_value,communications,,
159321.221755,0,seed_output,communications,,EHA972
159321.221805,0,seed_value,communications,,
159321.221812,0,seed_output,communications,,WMS232
159321.221862,0,seed_value,communications,,
159321.221871,0,seed_output,communications,,MYA347
159321.221923,0,seed_value,communications,,
159321.221931,0,seed_output,communications,,UPW443
159321.221977,0,seed_value,communications,,
159321.221984,0,seed_output,communications,,DXE892
159321.222029,0,seed_value,communications,,
159321.222036,0,seed_output,communications,,RZJ909
159321.22208,0,seed_value,communications,,
159321.222087,0,seed_output,communications,,APD620
159321.22211,0,seed_value,communications,,
159321.222117,0,seed_output,communications,,111.098028
159321.222134,0,seed_value,communications,,
159321.222139,0,seed_output,communications,,135.992022
159321.222157,0,seed_value,communications,,
159321.222163,0,seed_output,communications,,118.48416
159321.222178,0,seed_value,communications,,
159321.222184,0,seed_output,communications,,123.137533
159354.716441,0,dialog,,,OpenMATB end
159354.730059,0.01739,event,instructions,filename,study/briefing_practice.txt
159356.099776,0.01739,dialog,,,Warning end
159356.102998,0.034258,aoi,instructions,background,"(0, 864, 1536, 0)"
159356.103965,0.034258,parameter,instructions,title,
159356.104006,0.034258,parameter,instructions,taskplacement,fullscreen
159356.104025,0.034258,parameter,instructions,taskupdatetime,15
159356.104047,0.034258,parameter,instructions,taskfeedback-overdue-active,0
159356.104067,0.034258,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
159356.104084,0.034258,parameter,instructions,taskfeedback-overdue-delayms,2000
159356.104101,0.034258,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
159356.104115,0.034258,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
159356.10413,0.034258,parameter,instructions,taskfeedback-overdue-_is_visible,0
159356.104144,0.034258,parameter,instructions,boldtitle,0
159356.104158,0.034258,parameter,instructions,filename,study/briefing_practice.txt
159356.104172,0.034258,parameter,instructions,pointsize,0
159356.104184,0.034258,parameter,instructions,maxdurationsec,0
159356.104198,0.034258,parameter,instructions,response-text,Press SPACE to continue
159356.104212,0.034258,parameter,instructions,response-key,SPACE
159356.104225,0.034258,parameter,instructions,allowkeypress,1
