logtime,scenario_time,type,module,address,value
480348.192765,0,version,,,1.4.1
480348.193211,0,scenario_path,,,includes\scenarios\study\full_P03.txt
480348.194307,0,seed_value,communications,,
480348.194326,0,seed_output,communications,,DXE892
480348.194398,0,seed_value,communications,,
480348.194411,0,seed_output,communications,,RZJ909
480348.194466,0,seed_value,communications,,
480348.194475,0,seed_output,communications,,APD620
480348.194517,0,seed_value,communications,,
480348.194523,0,seed_output,communications,,SFU347
480348.194556,0,seed_value,communications,,
480348.194561,0,seed_output,communications,,RKY252
480348.194593,0,seed_value,communications,,
480348.194598,0,seed_output,communications,,KBA410
480348.194631,0,seed_value,communications,,
480348.194636,0,seed_output,communications,,UNN115
480348.194665,0,seed_value,communications,,
480348.19467,0,seed_output,communications,,GIM033
480348.194699,0,seed_value,communications,,
480348.194704,0,seed_output,communications,,OSQ034
480348.194735,0,seed_value,communications,,
480348.194739,0,seed_output,communications,,UDA433
480348.194768,0,seed_value,communications,,
480348.194772,0,seed_output,communications,,BJW275
480348.194788,0,seed_value,communications,,
480348.194792,0,seed_output,communications,,129.671447
480348.194804,0,seed_value,communications,,
480348.194809,0,seed_output,communications,,126.806419
480348.194819,0,seed_value,communications,,
480348.194823,0,seed_output,communications,,111.275758
480348.194832,0,seed_value,communications,,
480348.194835,0,seed_output,communications,,123.895453
480349.379039,0,dialog,,,OpenMATB end
480349.383758,0.007217,event,instructions,filename,study/briefing_practice.txt
480350.523935,0.007217,dialog,,,Warning end
480350.524772,0.013791,aoi,instructions,background,"(0, 960, 1707, 0)"
480350.525197,0.013791,parameter,instructions,title,
480350.525225,0.013791,parameter,instructions,taskplacement,fullscreen
480350.525239,0.013791,parameter,instructions,taskupdatetime,15
480350.525253,0.013791,parameter,instructions,taskfeedback-overdue-active,0
480350.525267,0.013791,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
480350.525279,0.013791,parameter,instructions,taskfeedback-overdue-delayms,2000
480350.525289,0.013791,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
480350.525299,0.013791,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
480350.525309,0.013791,parameter,instructions,taskfeedback-overdue-_is_visible,0
480350.525318,0.013791,parameter,instructions,boldtitle,0
480350.525327,0.013791,parameter,instructions,filename,study/briefing_practice.txt
480350.525336,0.013791,parameter,instructions,pointsize,0
480350.525344,0.013791,parameter,instructions,maxdurationsec,0
480350.525353,0.013791,parameter,instructions,response-text,Press SPACE to continue
480350.525364,0.013791,parameter,instructions,response-key,SPACE
480350.525372,0.013791,parameter,instructions,allowkeypress,1
480350.527838,0.013791,state,instructions,"background, visibility",1
480350.527862,0.013791,event,instructions,self,start
480350.530153,0.019664,state,instructions,"background, visibility",0
480350.533566,0.019664,aoi,instructions,title,"(0, 960, 1707, 0)"
480350.536365,0.019664,aoi,instructions,press_space,"(0, 960, 1707, 0)"
480350.553916,0.019664,aoi,instructions,instructions,"(0, 960, 1707, 0)"
480350.554003,0.019664,state,instructions,"background, visibility",1
480361.567854,0.019664,input,keyboard,SPACE,press
480361.731147,0.019664,input,keyboard,SPACE,release
480361.731435,0.019664,state,instructions,"background, visibility",0
480361.742229,0.030497,event,sysmon,automaticsolver,0
480361.748275,0.03632,aoi,sysmon,foreground,"(0, 912.0, 597, 480.0)"
480361.748339,0.03632,aoi,sysmon,overdue,"(0, 912.0, 597, 480.0)"
480361.768325,0.03632,aoi,sysmon,task_title,"(0, 960.0, 597, 912.0)"
480361.768474,0.03632,aoi,sysmon,automode,"(253.725, 526.8, 343.275, 502.8)"
480361.769887,0.03632,aoi,sysmon,scale1,"(44.775, 760.8, 104.475, 544.8)"
480361.770633,0.03632,aoi,sysmon,scale2,"(194.025, 760.8, 253.72500000000002, 544.8)"
480361.771459,0.03632,aoi,sysmon,scale3,"(343.275, 760.8, 402.97499999999997, 544.8)"
480361.772363,0.03632,aoi,sysmon,scale4,"(492.525, 760.8, 552.225, 544.8)"
480361.773246,0.03632,aoi,sysmon,light1,"(29.849999999999994, 868.8, 268.65, 804.0)"
480361.774242,0.03632,aoi,sysmon,light2,"(328.35, 868.8, 567.1500000000001, 804.0)"
480361.774264,0.03632,parameter,sysmon,title,System monitoring
480361.774273,0.03632,parameter,sysmon,taskplacement,topleft
480361.774279,0.03632,parameter,sysmon,taskupdatetime,200
480361.774288,0.03632,parameter,sysmon,taskfeedback-overdue-active,0
480361.774295,0.03632,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
480361.774304,0.03632,parameter,sysmon,taskfeedback-overdue-delayms,2000
480361.774313,0.03632,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
480361.774321,0.03632,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
480361.77433,0.03632,parameter,sysmon,taskfeedback-overdue-_is_visible,0
480361.774336,0.03632,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x0000029262E36990>
480361.774343,0.03632,parameter,sysmon,alerttimeout,10000
480361.774349,0.03632,parameter,sysmon,automaticsolver,0
480361.774354,0.03632,parameter,sysmon,automaticsolverdelay,1000
480361.774359,0.03632,parameter,sysmon,displayautomationstate,1
480361.774363,0.03632,parameter,sysmon,allowanykey,0
480361.774368,0.03632,parameter,sysmon,feedbackduration,1500
480361.774374,0.03632,parameter,sysmon,feedbacks-positive-active,1
480361.774379,0.03632,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
480361.774385,0.03632,parameter,sysmon,feedbacks-negative-active,1
480361.77439,0.03632,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
480361.774396,0.03632,parameter,sysmon,lights-1-name,F5
480361.774402,0.03632,parameter,sysmon,lights-1-failure,0
480361.77441,0.03632,parameter,sysmon,lights-1-default,on
480361.774418,0.03632,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
480361.774426,0.03632,parameter,sysmon,lights-1-key,F5
480361.774434,0.03632,parameter,sysmon,lights-1-on,1
480361.774438,0.03632,parameter,sysmon,lights-1-_failuretimer,
480361.774446,0.03632,parameter,sysmon,lights-1-_onfailure,0
480361.774451,0.03632,parameter,sysmon,lights-1-_milliresponsetime,0
480361.774456,0.03632,parameter,sysmon,lights-1-_freezetimer,
480361.77446,0.03632,parameter,sysmon,lights-1-widget,<core.widgets.light.Light object at 0x0000029262E95E80>
480361.774467,0.03632,parameter,sysmon,lights-2-name,F6
480361.774471,0.03632,parameter,sysmon,lights-2-failure,0
480361.774476,0.03632,parameter,sysmon,lights-2-default,off
480361.77448,0.03632,parameter,sysmon,lights-2-oncolor,"(241, 100, 100, 255)"
480361.774485,0.03632,parameter,sysmon,lights-2-key,F6
480361.77449,0.03632,parameter,sysmon,lights-2-on,0
480361.774494,0.03632,parameter,sysmon,lights-2-_failuretimer,
480361.774498,0.03632,parameter,sysmon,lights-2-_onfailure,0
480361.774503,0.03632,parameter,sysmon,lights-2-_milliresponsetime,0
480361.774507,0.03632,parameter,sysmon,lights-2-_freezetimer,
480361.774512,0.03632,parameter,sysmon,lights-2-widget,<core.widgets.light.Light object at 0x0000029262E379D0>
480361.774521,0.03632,parameter,sysmon,scales-1-name,F1
480361.774525,0.03632,parameter,sysmon,scales-1-failure,0
480361.774529,0.03632,parameter,sysmon,scales-1-side,0
480361.774534,0.03632,parameter,sysmon,scales-1-key,F1
480361.774539,0.03632,parameter,sysmon,scales-1-_failuretimer,
480361.774543,0.03632,parameter,sysmon,scales-1-_onfailure,0
480361.774548,0.03632,parameter,sysmon,scales-1-_milliresponsetime,0
480361.774552,0.03632,parameter,sysmon,scales-1-_freezetimer,
480361.774557,0.03632,parameter,sysmon,scales-1-_pos,5
480361.774562,0.03632,parameter,sysmon,scales-1-_zone,0
480361.774566,0.03632,parameter,sysmon,scales-1-_feedbacktimer,
480361.774571,0.03632,parameter,sysmon,scales-1-_feedbacktype,
480361.774576,0.03632,parameter,sysmon,scales-1-widget,<core.widgets.scale.Scale object at 0x0000029262E96510>
480361.774715,0.03632,parameter,sysmon,scales-2-name,F2
480361.774727,0.03632,parameter,sysmon,scales-2-failure,0
480361.774733,0.03632,parameter,sysmon,scales-2-side,0
480361.774742,0.03632,parameter,sysmon,scales-2-key,F2
480361.774747,0.03632,parameter,sysmon,scales-2-_failuretimer,
480361.774751,0.03632,parameter,sysmon,scales-2-_onfailure,0
480361.774756,0.03632,parameter,sysmon,scales-2-_milliresponsetime,0
480361.774761,0.03632,parameter,sysmon,scales-2-_freezetimer,
480361.774766,0.03632,parameter,sysmon,scales-2-_pos,5
480361.77477,0.03632,parameter,sysmon,scales-2-_zone,0
480361.774775,0.03632,parameter,sysmon,scales-2-_feedbacktimer,
480361.77478,0.03632,parameter,sysmon,scales-2-_feedbacktype,
480361.774784,0.03632,parameter,sysmon,scales-2-widget,<core.widgets.scale.Scale object at 0x0000029262E36AD0>
480361.774791,0.03632,parameter,sysmon,scales-3-name,F3
480361.774796,0.03632,parameter,sysmon,scales-3-failure,0
480361.7748,0.03632,parameter,sysmon,scales-3-side,0
480361.774805,0.03632,parameter,sysmon,scales-3-key,F3
480361.77481,0.03632,parameter,sysmon,scales-3-_failuretimer,
480361.774814,0.03632,parameter,sysmon,scales-3-_onfailure,0
480361.774818,0.03632,parameter,sysmon,scales-3-_milliresponsetime,0
480361.774823,0.03632,parameter,sysmon,scales-3-_freezetimer,
480361.774828,0.03632,parameter,sysmon,scales-3-_pos,5
