logtime,scenario_time,type,module,address,value
1002773.837154,0,version,,,1.4.1
1002773.837514,0,scenario_path,,,includes\scenarios\study\full_P01.txt
1002773.838659,0,seed_value,communications,,
1002773.838675,0,seed_output,communications,,QLS030
1002773.838736,0,seed_value,communications,,
1002773.838746,0,seed_output,communications,,RKY252
1002773.838797,0,seed_value,communications,,
1002773.838805,0,seed_output,communications,,KBA410
1002773.838857,0,seed_value,communications,,
1002773.838865,0,seed_output,communications,,UNN115
1002773.838908,0,seed_value,communications,,
1002773.838915,0,seed_output,communications,,GIM033
1002773.838957,0,seed_value,communications,,
1002773.838963,0,seed_output,communications,,OSQ034
1002773.839006,0,seed_value,communications,,
1002773.839013,0,seed_output,communications,,UDA433
1002773.839052,0,seed_value,communications,,
1002773.839059,0,seed_output,communications,,BJW275
1002773.839111,0,seed_value,communications,,
1002773.839119,0,seed_output,communications,,INP414
1002773.839163,0,seed_value,communications,,
1002773.83917,0,seed_output,communications,,CMB993
1002773.839211,0,seed_value,communications,,
1002773.839218,0,seed_output,communications,,LCN879
1002773.83926,0,seed_value,communications,,
1002773.839266,0,seed_output,communications,,CLN158
1002773.839313,0,seed_value,communications,,
1002773.839321,0,seed_output,communications,,HQR233
1002773.839364,0,seed_value,communications,,
1002773.839372,0,seed_output,communications,,IBX875
1002773.839391,0,seed_value,communications,,
1002773.839398,0,seed_output,communications,,110.245232
1002773.839415,0,seed_value,communications,,
1002773.839421,0,seed_output,communications,,124.539524
1002773.839434,0,seed_value,communications,,
1002773.83944,0,seed_output,communications,,123.339126
1002773.839452,0,seed_value,communications,,
1002773.839458,0,seed_output,communications,,123.912144
1002775.138134,0,dialog,,,OpenMATB end
1002775.143837,0.007096,event,instructions,filename,study/briefing_practice.txt
1002775.997456,0.007096,dialog,,,Warning end
1002775.998213,0.01368,aoi,instructions,background,"(0, 960, 1707, 0)"
1002775.998872,0.01368,parameter,instructions,title,
1002775.998921,0.01368,parameter,instructions,taskplacement,fullscreen
1002775.998936,0.01368,parameter,instructions,taskupdatetime,15
1002775.998951,0.01368,parameter,instructions,taskfeedback-overdue-active,0
1002775.998964,0.01368,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
1002775.998976,0.01368,parameter,instructions,taskfeedback-overdue-delayms,2000
