logtime,scenario_time,type,module,address,value
309218.544561,0,version,,,1.4.1
309218.552286,0,scenario_path,,,includes\scenarios\study\full_P05.txt
309218.553162,0,seed_value,communications,,
309218.553177,0,seed_output,communications,,HLM230
309218.553232,0,seed_value,communications,,
309218.55324,0,seed_output,communications,,SBN790
309218.553282,0,seed_value,communications,,
309218.553289,0,seed_output,communications,,PIV852
309218.553328,0,seed_value,communications,,
309218.553333,0,seed_output,communications,,DTW834
309218.553369,0,seed_value,communications,,
309218.553374,0,seed_output,communications,,LPP463
309218.553408,0,seed_value,communications,,
309218.553413,0,seed_output,communications,,QNZ454
309218.553445,0,seed_value,communications,,
309218.55345,0,seed_output,communications,,FDV753
309218.553486,0,seed_value,communications,,
309218.553491,0,seed_output,communications,,XVZ241
309218.553508,0,seed_value,communications,,
309218.553512,0,seed_output,communications,,131.006862
309218.553526,0,seed_value,communications,,
309218.553547,0,seed_output,communications,,117.39115
309218.553564,0,seed_value,communications,,
309218.553569,0,seed_output,communications,,114.57447
309218.553581,0,seed_value,communications,,
309218.553585,0,seed_output,communications,,121.427213
309219.625205,0,dialog,,,OpenMATB end
309219.633904,0.007734,event,instructions,filename,study/briefing_practice.txt
309221.392641,0.007734,dialog,,,Warning end
309221.393043,0.015807,aoi,instructions,background,"(0, 1067, 1707, 0)"
309221.405352,0.015807,parameter,instructions,title,
309221.405396,0.015807,parameter,instructions,taskplacement,fullscreen
309221.405409,0.015807,parameter,instructions,taskupdatetime,15
309221.405424,0.015807,parameter,instructions,taskfeedback-overdue-active,0
309221.405434,0.015807,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
309221.405446,0.015807,parameter,instructions,taskfeedback-overdue-delayms,2000
309221.405454,0.015807,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
309221.405461,0.015807,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
309221.405469,0.015807,parameter,instructions,taskfeedback-overdue-_is_visible,0
309221.405476,0.015807,parameter,instructions,boldtitle,0
309221.405484,0.015807,parameter,instructions,filename,study/briefing_practice.txt
309221.405492,0.015807,parameter,instructions,pointsize,0
309221.405498,0.015807,parameter,instructions,maxdurationsec,0
309221.405505,0.015807,parameter,instructions,response-text,Press SPACE to continue
309221.405513,0.015807,parameter,instructions,response-key,SPACE
309221.405519,0.015807,parameter,instructions,allowkeypress,1
309221.409501,0.015807,state,instructions,"background, visibility",1
309221.409545,0.015807,event,instructions,self,start
309221.41546,0.038416,state,instructions,"background, visibility",0
309221.422947,0.038416,aoi,instructions,title,"(0, 1067, 1707, 0)"
309221.429902,0.038416,aoi,instructions,press_space,"(0, 1067, 1707, 0)"
309221.459326,0.038416,aoi,instructions,instructions,"(0, 1067, 1707, 0)"
309221.459412,0.038416,state,instructions,"background, visibility",1
309222.700582,0.038416,input,keyboard,SPACE,press
309222.875843,0.038416,input,keyboard,SPACE,release
309222.876043,0.038416,state,instructions,"background, visibility",0
309222.890385,0.052772,event,sysmon,automaticsolver,0
309222.90096,0.063218,aoi,sysmon,foreground,"(0, 1013.6500000000001, 597, 533.5)"
309222.901,0.063218,aoi,sysmon,overdue,"(0, 1013.6500000000001, 597, 533.5)"
309222.910949,0.063218,aoi,sysmon,task_title,"(0, 1067.0, 597, 1013.65)"
309222.911096,0.063218,aoi,sysmon,automode,"(253.725, 585.5162499999999, 343.275, 558.84125)"
309222.912472,0.063218,aoi,sysmon,scale1,"(44.775, 845.5975000000001, 104.475, 605.5225)"
309222.913394,0.063218,aoi,sysmon,scale2,"(194.025, 845.5975000000001, 253.72500000000002, 605.5225)"
309222.914821,0.063218,aoi,sysmon,scale3,"(343.275, 845.5975000000001, 402.97499999999997, 605.5225)"
309222.915983,0.063218,aoi,sysmon,scale4,"(492.525, 845.5975000000001, 552.225, 605.5225)"
309222.916877,0.063218,aoi,sysmon,light1,"(29.849999999999994, 965.635, 268.65, 893.6125)"
309222.918175,0.063218,aoi,sysmon,light2,"(328.35, 965.635, 567.1500000000001, 893.6125)"
309222.918196,0.063218,parameter,sysmon,title,System monitoring
309222.918205,0.063218,parameter,sysmon,taskplacement,topleft
309222.918211,0.063218,parameter,sysmon,taskupdatetime,200
309222.918218,0.063218,parameter,sysmon,taskfeedback-overdue-active,0
309222.918224,0.063218,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
309222.91823,0.063218,parameter,sysmon,taskfeedback-overdue-delayms,2000
309222.918235,0.063218,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
309222.91824,0.063218,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
309222.918244,0.063218,parameter,sysmon,taskfeedback-overdue-_is_visible,0
309222.91825,0.063218,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x000002665C234690>
309222.918257,0.063218,parameter,sysmon,alerttimeout,10000
309222.918262,0.063218,parameter,sysmon,automaticsolver,0
309222.918266,0.063218,parameter,sysmon,automaticsolverdelay,1000
309222.918271,0.063218,parameter,sysmon,displayautomationstate,1
309222.918275,0.063218,parameter,sysmon,allowanykey,0
309222.918278,0.063218,parameter,sysmon,feedbackduration,1500
309222.918284,0.063218,parameter,sysmon,feedbacks-positive-active,1
