logtime,scenario_time,type,module,address,value
82073.12991,0,version,,,1.4.1
82073.133462,0,scenario_path,,,includes\scenarios\study\full_P17.txt
82073.138945,0,seed_value,communications,,
82073.139026,0,seed_output,communications,,GAQ023
82073.139383,0,seed_value,communications,,
82073.139441,0,seed_output,communications,,QNZ454
82073.13972,0,seed_value,communications,,
82073.13977,0,seed_output,communications,,FDV753
82073.140094,0,seed_value,communications,,
82073.140144,0,seed_output,communications,,XVZ241
82073.140432,0,seed_value,communications,,
82073.140479,0,seed_output,communications,,EHA972
82073.140772,0,seed_value,communications,,
82073.140819,0,seed_output,communications,,WMS232
82073.141086,0,seed_value,communications,,
82073.141132,0,seed_output,communications,,MYA347
82073.141406,0,seed_value,communications,,
82073.141452,0,seed_output,communications,,UPW443
82073.141707,0,seed_value,communications,,
82073.141753,0,seed_output,communications,,DXE892
82073.141882,0,seed_value,communications,,
82073.141923,0,seed_output,communications,,115.511246
82073.142017,0,seed_value,communications,,
82073.142071,0,seed_output,communications,,111.098028
82073.14215,0,seed_value,communications,,
82073.142182,0,seed_output,communications,,135.992022
82073.142256,0,seed_value,communications,,
82073.142288,0,seed_output,communications,,118.48416
82075.261272,0,dialog,,,OpenMATB end
82075.296277,0.019073,event,instructions,filename,study/briefing_practice.txt
82076.776847,0.019073,dialog,,,Warning end
82076.7784,0.036939,aoi,instructions,background,"(0, 864, 1536, 0)"
82076.779716,0.036939,parameter,instructions,title,
82076.779826,0.036939,parameter,instructions,taskplacement,fullscreen
82076.779888,0.036939,parameter,instructions,taskupdatetime,15
82076.779949,0.036939,parameter,instructions,taskfeedback-overdue-active,0
82076.780008,0.036939,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
82076.780067,0.036939,parameter,instructions,taskfeedback-overdue-delayms,2000
82076.780114,0.036939,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
82076.780159,0.036939,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
82076.780205,0.036939,parameter,instructions,taskfeedback-overdue-_is_visible,0
82076.780251,0.036939,parameter,instructions,boldtitle,0
82076.780294,0.036939,parameter,instructions,filename,study/briefing_practice.txt
82076.780339,0.036939,parameter,instructions,pointsize,0
82076.780378,0.036939,parameter,instructions,maxdurationsec,0
82076.780422,0.036939,parameter,instructions,response-text,Press SPACE to continue
82076.780468,0.036939,parameter,instructions,response-key,SPACE
82076.780508,0.036939,parameter,instructions,allowkeypress,1
82076.791366,0.036939,state,instructions,"background, visibility",1
82076.791519,0.036939,event,instructions,self,start
82076.808021,0.067417,state,instructions,"background, visibility",0
82076.833323,0.067417,aoi,instructions,title,"(0, 864, 1536, 0)"
82076.856638,0.067417,aoi,instructions,press_space,"(0, 864, 1536, 0)"
82076.998798,0.067417,aoi,instructions,instructions,"(0, 864, 1536, 0)"
82076.999081,0.067417,state,instructions,"background, visibility",1
82354.766745,0.067417,input,keyboard,SPACE,press
82354.932334,0.067417,input,keyboard,SPACE,release
82354.932927,0.067417,state,instructions,"background, visibility",0
82354.997245,0.131723,event,sysmon,automaticsolver,0
82355.016424,0.149972,aoi,sysmon,foreground,"(0, 820.8, 537, 432.0)"
82355.016667,0.149972,aoi,sysmon,overdue,"(0, 820.8, 537, 432.0)"
82355.050063,0.149972,aoi,sysmon,task_title,"(0, 864.0, 537, 820.8)"
82355.05086,0.149972,aoi,sysmon,automode,"(228.225, 474.12, 308.775, 452.52)"
82355.059389,0.149972,aoi,sysmon,scale1,"(40.275, 684.72, 93.975, 490.32)"
82355.066378,0.149972,aoi,sysmon,scale2,"(174.525, 684.72, 228.22500000000002, 490.32)"
82355.072804,0.149972,aoi,sysmon,scale3,"(308.775, 684.72, 362.47499999999997, 490.32)"
82355.077915,0.149972,aoi,sysmon,scale4,"(443.025, 684.72, 496.72499999999997, 490.32)"
82355.083224,0.149972,aoi,sysmon,light1,"(26.849999999999994, 781.9200000000001, 241.65, 723.6)"
82355.087837,0.149972,aoi,sysmon,light2,"(295.35, 781.9200000000001, 510.15000000000003, 723.6)"
82355.087932,0.149972,parameter,sysmon,title,System monitoring
82355.087978,0.149972,parameter,sysmon,taskplacement,topleft
82355.088014,0.149972,parameter,sysmon,taskupdatetime,200
82355.088053,0.149972,parameter,sysmon,taskfeedback-overdue-active,0
82355.088089,0.149972,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
82355.088125,0.149972,parameter,sysmon,taskfeedback-overdue-delayms,2000
82355.088168,0.149972,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
82355.088202,0.149972,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
82355.088233,0.149972,parameter,sysmon,taskfeedback-overdue-_is_visible,0
82355.088263,0.149972,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x00000165BE11EAD0>
82355.088313,0.149972,parameter,sysmon,alerttimeout,10000
82355.088345,0.149972,parameter,sysmon,automaticsolver,0
82355.088375,0.149972,parameter,sysmon,automaticsolverdelay,1000
82355.088402,0.149972,parameter,sysmon,displayautomationstate,1
82355.08843,0.149972,parameter,sysmon,allowanykey,0
82355.088456,0.149972,parameter,sysmon,feedbackduration,1500
82355.088487,0.149972,parameter,sysmon,feedbacks-positive-active,1
82355.088516,0.149972,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
82355.08855,0.149972,parameter,sysmon,feedbacks-negative-active,1
82355.088579,0.149972,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
82355.088613,0.149972,parameter,sysmon,lights-1-name,F5
82355.088641,0.149972,parameter,sysmon,lights-1-failure,0
82355.088668,0.149972,parameter,sysmon,lights-1-default,on
82355.088697,0.149972,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
82355.088727,0.149972,parameter,sysmon,lights-1-key,F5
82355.088754,0.149972,parameter,sysmon,lights-1-on,1
82355.08878,0.149972,parameter,sysmon,lights-1-_failuretimer,
82355.088807,0.149972,parameter,sysmon,lights-1-_onfailure,0
82355.088834,0.149972,parameter,sysmon,lights-1-_milliresponsetime,0
82355.088862,0.149972,parameter,sysmon,lights-1-_freezetimer,
82355.088889,0.149972,parameter,sysmon,lights-1-widget,<core.widgets.light.Light object at 0x00000165BE3523C0>
82355.088924,0.149972,parameter,sysmon,lights-2-name,F6
82355.088952,0.149972,parameter,sysmon,lights-2-failure,0
82355.088979,0.149972,parameter,sysmon,lights-2-default,off
82355.089012,0.149972,parameter,sysmon,lights-2-oncolor,"(241, 100, 100, 255)"
82355.089043,0.149972,parameter,sysmon,lights-2-key,F6
82355.089068,0.149972,parameter,sysmon,lights-2-on,0
82355.089094,0.149972,parameter,sysmon,lights-2-_failuretimer,
82355.08912,0.149972,parameter,sysmon,lights-2-_onfailure,0
82355.089149,0.149972,parameter,sysmon,lights-2-_milliresponsetime,0
82355.089176,0.149972,parameter,sysmon,lights-2-_freezetimer,
82355.089203,0.149972,parameter,sysmon,lights-2-widget,<core.widgets.light.Light object at 0x00000165C27342D0>
82355.089239,0.149972,parameter,sysmon,scales-1-name,F1
82355.089267,0.149972,parameter,sysmon,scales-1-failure,0
82355.089293,0.149972,parameter,sysmon,scales-1-side,0
82355.089319,0.149972,parameter,sysmon,scales-1-key,F1
82355.089344,0.149972,parameter,sysmon,scales-1-_failuretimer,
82355.08937,0.149972,parameter,sysmon,scales-1-_onfailure,0
82355.089396,0.149972,parameter,sysmon,scales-1-_milliresponsetime,0
82355.089422,0.149972,parameter,sysmon,scales-1-_freezetimer,
82355.089447,0.149972,parameter,sysmon,scales-1-_pos,5
82355.089474,0.149972,parameter,sysmon,scales-1-_zone,0
82355.089501,0.149972,parameter,sysmon,scales-1-_feedbacktimer,
82355.089527,0.149972,parameter,sysmon,scales-1-_feedbacktype,
82355.089554,0.149972,parameter,sysmon,scales-1-widget,<core.widgets.scale.Scale object at 0x00000165BE352510>
82355.089588,0.149972,parameter,sysmon,scales-2-name,F2
82355.089614,0.149972,parameter,sysmon,scales-2-failure,0
82355.089907,0.149972,parameter,sysmon,scales-2-side,0
82355.089954,0.149972,parameter,sysmon,scales-2-key,F2
82355.089981,0.149972,parameter,sysmon,scales-2-_failuretimer,
82355.090009,0.149972,parameter,sysmon,scales-2-_onfailure,0
82355.090037,0.149972,parameter,sysmon,scales-2-_milliresponsetime,0
82355.090065,0.149972,parameter,sysmon,scales-2-_freezetimer,
82355.090092,0.149972,parameter,sysmon,scales-2-_pos,5
82355.090119,0.149972,parameter,sysmon,scales-2-_zone,0
82355.090145,0.149972,parameter,sysmon,scales-2-_feedbacktimer,
82355.090188,0.149972,parameter,sysmon,scales-2-_feedbacktype,
82355.090216,0.149972,parameter,sysmon,scales-2-widget,<core.widgets.scale.Scale object at 0x00000165BE11EFD0>
82355.090256,0.149972,parameter,sysmon,scales-3-name,F3
82355.090283,0.149972,parameter,sysmon,scales-3-failure,0
82355.09031,0.149972,parameter,sysmon,scales-3-side,0
82355.090336,0.149972,parameter,sysmon,scales-3-key,F3
82355.090362,0.149972,parameter,sysmon,scales-3-_failuretimer,
82355.090389,0.149972,parameter,sysmon,scales-3-_onfailure,0
82355.090415,0.149972,parameter,sysmon,scales-3-_milliresponsetime,0
82355.090443,0.149972,parameter,sysmon,scales-3-_freezetimer,
82355.090469,0.149972,parameter,sysmon,scales-3-_pos,5
82355.090495,0.149972,parameter,sysmon,scales-3-_zone,0
82355.090521,0.149972,parameter,sysmon,scales-3-_feedbacktimer,
82355.090547,0.149972,parameter,sysmon,scales-3-_feedbacktype,
82355.090574,0.149972,parameter,sysmon,scales-3-widget,<core.widgets.scale.Scale object at 0x00000165BE11F610>
82355.090711,0.149972,parameter,sysmon,scales-4-name,F4
82355.090743,0.149972,parameter,sysmon,scales-4-failure,0
82355.090772,0.149972,parameter,sysmon,scales-4-side,0
82355.090798,0.149972,parameter,sysmon,scales-4-key,F4
