logtime,scenario_time,type,module,address,value
54076.31058,0,version,,,1.4.1
54076.317322,0,scenario_path,,,includes\scenarios\study\full_P03.txt
54076.318176,0,seed_value,communications,,
54076.318188,0,seed_output,communications,,TIX580
54076.318237,0,seed_value,communications,,
54076.318244,0,seed_output,communications,,KEM018
54076.318282,0,seed_value,communications,,
54076.318287,0,seed_output,communications,,OTL422
54076.318319,0,seed_value,communications,,
54076.318324,0,seed_output,communications,,SBN790
54076.318359,0,seed_value,communications,,
54076.318364,0,seed_output,communications,,PIV852
54076.318398,0,seed_value,communications,,
54076.318402,0,seed_output,communications,,DTW834
54076.318436,0,seed_value,communications,,
54076.318442,0,seed_output,communications,,LPP463
54076.318473,0,seed_value,communications,,
54076.318478,0,seed_output,communications,,QNZ454
54076.318508,0,seed_value,communications,,
54076.318513,0,seed_output,communications,,FDV753
54076.318528,0,seed_value,communications,,
54076.318532,0,seed_output,communications,,114.900974
54076.318545,0,seed_value,communications,,
54076.318549,0,seed_output,communications,,114.845395
54076.318561,0,seed_value,communications,,
54076.318564,0,seed_output,communications,,126.064149
54076.318576,0,seed_value,communications,,
54076.31858,0,seed_output,communications,,131.006862
54181.455557,0,dialog,,,OpenMATB end
54181.506759,0.010323,event,instructions,filename,study/briefing_practice.txt
54185.893015,0.010323,dialog,,,Warning end
54185.89403,0.022123,aoi,instructions,background,"(0, 1067, 1707, 0)"
54185.949879,0.022123,parameter,instructions,title,
54185.949984,0.022123,parameter,instructions,taskplacement,fullscreen
54185.950012,0.022123,parameter,instructions,taskupdatetime,15
54185.950043,0.022123,parameter,instructions,taskfeedback-overdue-active,0
54185.950068,0.022123,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
54185.950093,0.022123,parameter,instructions,taskfeedback-overdue-delayms,2000
54185.95011,0.022123,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
54185.950128,0.022123,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
54185.950147,0.022123,parameter,instructions,taskfeedback-overdue-_is_visible,0
54185.950163,0.022123,parameter,instructions,boldtitle,0
54185.950179,0.022123,parameter,instructions,filename,study/briefing_practice.txt
54185.950195,0.022123,parameter,instructions,pointsize,0
54185.950209,0.022123,parameter,instructions,maxdurationsec,0
54185.950225,0.022123,parameter,instructions,response-text,Press SPACE to continue
54185.950382,0.022123,parameter,instructions,response-key,SPACE
54185.950438,0.022123,parameter,instructions,allowkeypress,1
54185.960305,0.022123,state,instructions,"background, visibility",1
54185.960416,0.022123,event,instructions,self,start
54185.969722,0.098266,state,instructions,"background, visibility",0
54185.992712,0.098266,aoi,instructions,title,"(0, 1067, 1707, 0)"
54186.009275,0.098266,aoi,instructions,press_space,"(0, 1067, 1707, 0)"
54186.093084,0.098266,aoi,instructions,instructions,"(0, 1067, 1707, 0)"
54186.093327,0.098266,state,instructions,"background, visibility",1
54292.652434,0.098266,input,keyboard,SPACE,press
54292.737961,0.098266,input,keyboard,SPACE,release
54292.738518,0.098266,state,instructions,"background, visibility",0
