logtime,scenario_time,type,module,address,value
80065.737051,0,version,,,1.4.1
80065.740991,0,scenario_path,,,includes\scenarios\study\full_P16.txt
80065.748499,0,seed_value,communications,,
80065.748597,0,seed_output,communications,,DTW834
80065.748989,0,seed_value,communications,,
80065.749055,0,seed_output,communications,,LPP463
80065.749383,0,seed_value,communications,,
80065.749468,0,seed_output,communications,,QNZ454
80065.749843,0,seed_value,communications,,
80065.749903,0,seed_output,communications,,FDV753
80065.750235,0,seed_value,communications,,
80065.750289,0,seed_output,communications,,XVZ241
80065.750613,0,seed_value,communications,,
80065.750665,0,seed_output,communications,,EHA972
80065.750966,0,seed_value,communications,,
80065.751155,0,seed_output,communications,,WMS232
80065.751468,0,seed_value,communications,,
80065.751519,0,seed_output,communications,,MYA347
80065.751844,0,seed_value,communications,,
80065.751897,0,seed_output,communications,,UPW443
80065.752195,0,seed_value,communications,,
80065.752246,0,seed_output,communications,,DXE892
80065.752374,0,seed_value,communications,,
80065.752419,0,seed_output,communications,,121.76255
80065.75252,0,seed_value,communications,,
80065.75256,0,seed_output,communications,,115.511246
80065.752687,0,seed_value,communications,,
80065.752786,0,seed_output,communications,,111.098028
80065.752984,0,seed_value,communications,,
80065.753043,0,seed_output,communications,,135.992022
80067.489035,0,dialog,,,OpenMATB end
80067.510277,0.017582,event,instructions,filename,study/briefing_practice.txt
80069.788794,0.017582,dialog,,,Warning end
80069.789695,0.03511,aoi,instructions,background,"(0, 864, 1536, 0)"
80069.790533,0.03511,parameter,instructions,title,
80069.790596,0.03511,parameter,instructions,taskplacement,fullscreen
80069.790631,0.03511,parameter,instructions,taskupdatetime,15
80069.790665,0.03511,parameter,instructions,taskfeedback-overdue-active,0
80069.790696,0.03511,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
80069.790726,0.03511,parameter,instructions,taskfeedback-overdue-delayms,2000
80069.790752,0.03511,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
80069.790776,0.03511,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
80069.7908,0.03511,parameter,instructions,taskfeedback-overdue-_is_visible,0
80069.790825,0.03511,parameter,instructions,boldtitle,0
80069.790848,0.03511,parameter,instructions,filename,study/briefing_practice.txt
80069.790872,0.03511,parameter,instructions,pointsize,0
80069.790892,0.03511,parameter,instructions,maxdurationsec,0
80069.790915,0.03511,parameter,instructions,response-text,Press SPACE to continue
80069.790939,0.03511,parameter,instructions,response-key,SPACE
80069.790961,0.03511,parameter,instructions,allowkeypress,1
80069.79697,0.03511,state,instructions,"background, visibility",1
80069.797042,0.03511,event,instructions,self,start
80069.805307,0.051224,state,instructions,"background, visibility",0
80069.818148,0.051224,aoi,instructions,title,"(0, 864, 1536, 0)"
80069.829678,0.051224,aoi,instructions,press_space,"(0, 864, 1536, 0)"
80069.914554,0.051224,aoi,instructions,instructions,"(0, 864, 1536, 0)"
80069.914864,0.051224,state,instructions,"background, visibility",1
80122.002847,0.051224,input,keyboard,SPACE,press
80122.168777,0.051224,input,keyboard,SPACE,release
80122.169327,0.051224,state,instructions,"background, visibility",0
80122.233308,0.115198,event,sysmon,automaticsolver,0
80122.252461,0.133558,aoi,sysmon,foreground,"(0, 820.8, 537, 432.0)"
80122.252768,0.133558,aoi,sysmon,overdue,"(0, 820.8, 537, 432.0)"
80122.285519,0.133558,aoi,sysmon,task_title,"(0, 864.0, 537, 820.8)"
80122.286307,0.133558,aoi,sysmon,automode,"(228.225, 474.12, 308.775, 452.52)"
80122.294874,0.133558,aoi,sysmon,scale1,"(40.275, 684.72, 93.975, 490.32)"
80122.301723,0.133558,aoi,sysmon,scale2,"(174.525, 684.72, 228.22500000000002, 490.32)"
