logtime,scenario_time,type,module,address,value
868700.435104,0,version,,,1.4.1
868700.43543,0,scenario_path,,,includes\scenarios\study\full_P10.txt
868700.436346,0,seed_value,communications,,
868700.43636,0,seed_output,communications,,APD620
868700.436414,0,seed_value,communications,,
868700.436421,0,seed_output,communications,,SFU347
868700.43646,0,seed_value,communications,,
868700.436466,0,seed_output,communications,,RKY252
868700.4365,0,seed_value,communications,,
868700.436506,0,seed_output,communications,,KBA410
868700.436543,0,seed_value,communications,,
868700.436548,0,seed_output,communications,,UNN115
868700.43658,0,seed_value,communications,,
868700.436585,0,seed_output,communications,,GIM033
868700.436625,0,seed_value,communications,,
868700.43663,0,seed_output,communications,,OSQ034
868700.436662,0,seed_value,communications,,
868700.436667,0,seed_output,communications,,UDA433
868700.436695,0,seed_value,communications,,
868700.4367,0,seed_output,communications,,BJW275
868700.436729,0,seed_value,communications,,
868700.436733,0,seed_output,communications,,INP414
868700.436763,0,seed_value,communications,,
868700.436768,0,seed_output,communications,,CMB993
868700.436796,0,seed_value,communications,,
868700.4368,0,seed_output,communications,,LCN879
868700.436815,0,seed_value,communications,,
868700.436819,0,seed_output,communications,,123.895453
868700.436831,0,seed_value,communications,,
868700.436835,0,seed_output,communications,,123.633365
868700.436845,0,seed_value,communications,,
868700.436849,0,seed_output,communications,,108.356069
868700.436858,0,seed_value,communications,,
868700.436868,0,seed_output,communications,,110.245232
868702.799571,0,dialog,,,OpenMATB end
868702.804702,0.007237,event,instructions,filename,study/briefing_practice.txt
868705.617279,0.007237,dialog,,,Warning end
868705.617741,0.013901,aoi,instructions,background,"(0, 960, 1707, 0)"
868705.618095,0.013901,parameter,instructions,title,
868705.618112,0.013901,parameter,instructions,taskplacement,fullscreen
868705.618122,0.013901,parameter,instructions,taskupdatetime,15
868705.618133,0.013901,parameter,instructions,taskfeedback-overdue-active,0
868705.618141,0.013901,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
868705.61815,0.013901,parameter,instructions,taskfeedback-overdue-delayms,2000
868705.618157,0.013901,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
868705.618164,0.013901,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
