logtime,scenario_time,type,module,address,value
401581.114602,0,version,,,1.4.1
401581.121446,0,scenario_path,,,includes\scenarios\study\full_P06.txt
401581.12255,0,seed_value,communications,,
401581.122572,0,seed_output,communications,,OTL422
401581.122626,0,seed_value,communications,,
401581.122634,0,seed_output,communications,,SBN790
401581.122686,0,seed_value,communications,,
401581.122693,0,seed_output,communications,,PIV852
401581.122738,0,seed_value,communications,,
401581.122744,0,seed_output,communications,,DTW834
401581.122779,0,seed_value,communications,,
401581.122784,0,seed_output,communications,,LPP463
401581.122814,0,seed_value,communications,,
401581.122819,0,seed_output,communications,,QNZ454
401581.122848,0,seed_value,communications,,
401581.122853,0,seed_output,communications,,FDV753
401581.122885,0,seed_value,communications,,
401581.122889,0,seed_output,communications,,XVZ241
401581.12292,0,seed_value,communications,,
401581.122925,0,seed_output,communications,,EHA972
401581.122941,0,seed_value,communications,,
401581.122945,0,seed_output,communications,,117.39115
401581.122958,0,seed_value,communications,,
401581.122961,0,seed_output,communications,,114.57447
401581.122972,0,seed_value,communications,,
401581.122976,0,seed_output,communications,,121.427213
401581.122986,0,seed_value,communications,,
401581.122989,0,seed_output,communications,,124.570675
401583.473944,0,dialog,,,OpenMATB end
401583.487839,0.008759,event,instructions,filename,study/briefing_practice.txt
401584.640444,0.008759,dialog,,,Warning end
401584.64085,0.017649,aoi,instructions,background,"(0, 1067, 1707, 0)"
401584.653245,0.017649,parameter,instructions,title,
401584.65329,0.017649,parameter,instructions,taskplacement,fullscreen
401584.653302,0.017649,parameter,instructions,taskupdatetime,15
401584.653316,0.017649,parameter,instructions,taskfeedback-overdue-active,0
401584.653328,0.017649,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
401584.653339,0.017649,parameter,instructions,taskfeedback-overdue-delayms,2000
401584.653347,0.017649,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
401584.653355,0.017649,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
401584.653363,0.017649,parameter,instructions,taskfeedback-overdue-_is_visible,0
401584.653371,0.017649,parameter,instructions,boldtitle,0
401584.653378,0.017649,parameter,instructions,filename,study/briefing_practice.txt
401584.653385,0.017649,parameter,instructions,pointsize,0
401584.653392,0.017649,parameter,instructions,maxdurationsec,0
401584.653399,0.017649,parameter,instructions,response-text,Press SPACE to continue
401584.653407,0.017649,parameter,instructions,response-key,SPACE
401584.653413,0.017649,parameter,instructions,allowkeypress,1
401584.657351,0.017649,state,instructions,"background, visibility",1
401584.657394,0.017649,event,instructions,self,start
401584.663585,0.04057,state,instructions,"background, visibility",0
401584.671312,0.04057,aoi,instructions,title,"(0, 1067, 1707, 0)"
401584.678253,0.04057,aoi,instructions,press_space,"(0, 1067, 1707, 0)"
401584.714229,0.04057,aoi,instructions,instructions,"(0, 1067, 1707, 0)"
401584.714312,0.04057,state,instructions,"background, visibility",1
401585.857558,0.04057,input,keyboard,SPACE,press
401586.008657,0.04057,input,keyboard,SPACE,release
401586.008884,0.04057,state,instructions,"background, visibility",0
401586.021903,0.053584,event,sysmon,automaticsolver,0
401586.032234,0.063717,aoi,sysmon,foreground,"(0, 1013.6500000000001, 597, 533.5)"
401586.032295,0.063717,aoi,sysmon,overdue,"(0, 1013.6500000000001, 597, 533.5)"
401586.048887,0.063717,aoi,sysmon,task_title,"(0, 1067.0, 597, 1013.65)"
