logtime,scenario_time,type,module,address,value
56568.968472,0,version,,,1.4.1
56568.969084,0,scenario_path,,,includes\scenarios\study\full_P04.txt
56568.970833,0,seed_value,communications,,
56568.970869,0,seed_output,communications,,KEM018
56568.970983,0,seed_value,communications,,
56568.971,0,seed_output,communications,,OTL422
56568.971082,0,seed_value,communications,,
56568.971096,0,seed_output,communications,,SBN790
56568.971179,0,seed_value,communications,,
56568.971193,0,seed_output,communications,,PIV852
56568.971286,0,seed_value,communications,,
56568.971301,0,seed_output,communications,,DTW834
56568.971383,0,seed_value,communications,,
56568.971396,0,seed_output,communications,,LPP463
56568.971466,0,seed_value,communications,,
56568.971478,0,seed_output,communications,,QNZ454
56568.971574,0,seed_value,communications,,
56568.971588,0,seed_output,communications,,FDV753
56568.971664,0,seed_value,communications,,
56568.971676,0,seed_output,communications,,XVZ241
56568.971711,0,seed_value,communications,,
56568.971722,0,seed_output,communications,,126.064149
56568.97175,0,seed_value,communications,,
56568.97176,0,seed_output,communications,,131.006862
56568.971784,0,seed_value,communications,,
56568.971794,0,seed_output,communications,,117.39115
56568.971816,0,seed_value,communications,,
56568.971825,0,seed_output,communications,,114.57447
56570.185542,0,dialog,,,OpenMATB end
56570.206788,0.009906,event,instructions,filename,study/briefing_practice.txt
56570.910083,0.009906,dialog,,,Warning end
56570.910785,0.018812,aoi,instructions,background,"(0, 1067, 1707, 0)"
56570.91156,0.018812,parameter,instructions,title,
56570.911613,0.018812,parameter,instructions,taskplacement,fullscreen
56570.911633,0.018812,parameter,instructions,taskupdatetime,15
56570.911655,0.018812,parameter,instructions,taskfeedback-overdue-active,0
56570.911699,0.018812,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
56570.911819,0.018812,parameter,instructions,taskfeedback-overdue-delayms,2000
56570.911844,0.018812,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
56570.91186,0.018812,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
56570.911878,0.018812,parameter,instructions,taskfeedback-overdue-_is_visible,0
56570.911892,0.018812,parameter,instructions,boldtitle,0
56570.911906,0.018812,parameter,instructions,filename,study/briefing_practice.txt
56570.911919,0.018812,parameter,instructions,pointsize,0
56570.911931,0.018812,parameter,instructions,maxdurationsec,0
56570.911945,0.018812,parameter,instructions,response-text,Press SPACE to continue
56570.911958,0.018812,parameter,instructions,response-key,SPACE
56570.91197,0.018812,parameter,instructions,allowkeypress,1
56570.916368,0.018812,state,instructions,"background, visibility",1
56570.916435,0.018812,event,instructions,self,start
56570.924632,0.033044,state,instructions,"background, visibility",0
56570.933763,0.033044,aoi,instructions,title,"(0, 1067, 1707, 0)"
56570.943564,0.033044,aoi,instructions,press_space,"(0, 1067, 1707, 0)"
56571.010878,0.033044,aoi,instructions,instructions,"(0, 1067, 1707, 0)"
56571.011261,0.033044,state,instructions,"background, visibility",1
56571.695426,0.033044,input,keyboard,SPACE,press
56571.864072,0.033044,input,keyboard,SPACE,release
56571.865046,0.033044,state,instructions,"background, visibility",0
56571.892985,0.060989,event,sysmon,automaticsolver,0
56571.907632,0.074987,aoi,sysmon,foreground,"(0, 1013.6500000000001, 597, 533.5)"
56571.907797,0.074987,aoi,sysmon,overdue,"(0, 1013.6500000000001, 597, 533.5)"
56571.92866,0.074987,aoi,sysmon,task_title,"(0, 1067.0, 597, 1013.65)"
56571.92907,0.074987,aoi,sysmon,automode,"(253.725, 585.5162499999999, 343.275, 558.84125)"
56571.933273,0.074987,aoi,sysmon,scale1,"(44.775, 845.5975000000001, 104.475, 605.5225)"
56571.936597,0.074987,aoi,sysmon,scale2,"(194.025, 845.5975000000001, 253.72500000000002, 605.5225)"
56571.939295,0.074987,aoi,sysmon,scale3,"(343.275, 845.5975000000001, 402.97499999999997, 605.5225)"
56571.942286,0.074987,aoi,sysmon,scale4,"(492.525, 845.5975000000001, 552.225, 605.5225)"
56571.945143,0.074987,aoi,sysmon,light1,"(29.849999999999994, 965.635, 268.65, 893.6125)"
56571.947704,0.074987,aoi,sysmon,light2,"(328.35, 965.635, 567.1500000000001, 893.6125)"
56571.947762,0.074987,parameter,sysmon,title,System monitoring
56571.947784,0.074987,parameter,sysmon,taskplacement,topleft
56571.947799,0.074987,parameter,sysmon,taskupdatetime,200
56571.947817,0.074987,parameter,sysmon,taskfeedback-overdue-active,0
56571.947833,0.074987,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
56571.947849,0.074987,parameter,sysmon,taskfeedback-overdue-delayms,2000
56571.947862,0.074987,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
56571.947877,0.074987,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
56571.94789,0.074987,parameter,sysmon,taskfeedback-overdue-_is_visible,0
56571.947903,0.074987,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x00000287EEA14690>
56571.94792,0.074987,parameter,sysmon,alerttimeout,10000
56571.947933,0.074987,parameter,sysmon,automaticsolver,0
56571.947945,0.074987,parameter,sysmon,automaticsolverdelay,1000
56571.947956,0.074987,parameter,sysmon,displayautomationstate,1
56571.947967,0.074987,parameter,sysmon,allowanykey,0
56571.947977,0.074987,parameter,sysmon,feedbackduration,1500
56571.94799,0.074987,parameter,sysmon,feedbacks-positive-active,1
56571.948002,0.074987,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
56571.948016,0.074987,parameter,sysmon,feedbacks-negative-active,1
56571.948028,0.074987,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
56571.948041,0.074987,parameter,sysmon,lights-1-name,F5
56571.948053,0.074987,parameter,sysmon,lights-1-failure,0
56571.948063,0.074987,parameter,sysmon,lights-1-default,on
56571.948076,0.074987,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
56571.948089,0.074987,parameter,sysmon,lights-1-key,F5
56571.9481,0.074987,parameter,sysmon,lights-1-on,1
56571.94811,0.074987,parameter,sysmon,lights-1-_failuretimer,
56571.948121,0.074987,parameter,sysmon,lights-1-_onfailure,0
56571.948131,0.074987,parameter,sysmon,lights-1-_milliresponsetime,0
56571.948142,0.074987,parameter,sysmon,lights-1-_freezetimer,
56571.948153,0.074987,parameter,sysmon,lights-1-widget,<core.widgets.light.Light object at 0x00000287EEA0CD70>
56571.948167,0.074987,parameter,sysmon,lights-2-name,F6
56571.948177,0.074987,parameter,sysmon,lights-2-failure,0
56571.948188,0.074987,parameter,sysmon,lights-2-default,off
56571.948198,0.074987,parameter,sysmon,lights-2-oncolor,"(241, 100, 100, 255)"
56571.948209,0.074987,parameter,sysmon,lights-2-key,F6
56571.94822,0.074987,parameter,sysmon,lights-2-on,0
56571.94823,0.074987,parameter,sysmon,lights-2-_failuretimer,
56571.94824,0.074987,parameter,sysmon,lights-2-_onfailure,0
56571.948251,0.074987,parameter,sysmon,lights-2-_milliresponsetime,0
56571.948261,0.074987,parameter,sysmon,lights-2-_freezetimer,
56571.948437,0.074987,parameter,sysmon,lights-2-widget,<core.widgets.light.Light object at 0x00000287EEA15A90>
56571.948486,0.074987,parameter,sysmon,scales-1-name,F1
56571.948506,0.074987,parameter,sysmon,scales-1-failure,0
56571.948521,0.074987,parameter,sysmon,scales-1-side,0
56571.948534,0.074987,parameter,sysmon,scales-1-key,F1
56571.948545,0.074987,parameter,sysmon,scales-1-_failuretimer,
56571.948556,0.074987,parameter,sysmon,scales-1-_onfailure,0
56571.948567,0.074987,parameter,sysmon,scales-1-_milliresponsetime,0
56571.948578,0.074987,parameter,sysmon,scales-1-_freezetimer,
56571.948588,0.074987,parameter,sysmon,scales-1-_pos,5
56571.948599,0.074987,parameter,sysmon,scales-1-_zone,0
56571.948611,0.074987,parameter,sysmon,scales-1-_feedbacktimer,
56571.948631,0.074987,parameter,sysmon,scales-1-_feedbacktype,
56571.948643,0.074987,parameter,sysmon,scales-1-widget,<core.widgets.scale.Scale object at 0x00000287EEA0D550>
56571.948659,0.074987,parameter,sysmon,scales-2-name,F2
56571.94893,0.074987,parameter,sysmon,scales-2-failure,0
56571.948955,0.074987,parameter,sysmon,scales-2-side,0
56571.948967,0.074987,parameter,sysmon,scales-2-key,F2
56571.948978,0.074987,parameter,sysmon,scales-2-_failuretimer,
56571.948988,0.074987,parameter,sysmon,scales-2-_onfailure,0
56571.948998,0.074987,parameter,sysmon,scales-2-_milliresponsetime,0
56571.949008,0.074987,parameter,sysmon,scales-2-_freezetimer,
56571.949018,0.074987,parameter,sysmon,scales-2-_pos,5
56571.949028,0.074987,parameter,sysmon,scales-2-_zone,0
56571.949038,0.074987,parameter,sysmon,scales-2-_feedbacktimer,
56571.949048,0.074987,parameter,sysmon,scales-2-_feedbacktype,
56571.949058,0.074987,parameter,sysmon,scales-2-widget,<core.widgets.scale.Scale object at 0x00000287EEA156D0>
56571.949074,0.074987,parameter,sysmon,scales-3-name,F3
56571.949084,0.074987,parameter,sysmon,scales-3-failure,0
56571.949094,0.074987,parameter,sysmon,scales-3-side,0
56571.949104,0.074987,parameter,sysmon,scales-3-key,F3
56571.949114,0.074987,parameter,sysmon,scales-3-_failuretimer,
56571.949124,0.074987,parameter,sysmon,scales-3-_onfailure,0
56571.949134,0.074987,parameter,sysmon,scales-3-_milliresponsetime,0
56571.949144,0.074987,parameter,sysmon,scales-3-_freezetimer,
56571.949153,0.074987,parameter,sysmon,scales-3-_pos,5
56571.949163,0.074987,parameter,sysmon,scales-3-_zone,0
56571.949172,0.074987,parameter,sysmon,scales-3-_feedbacktimer,
56571.949182,0.074987,parameter,sysmon,scales-3-_feedbacktype,
56571.949192,0.074987,parameter,sysmon,scales-3-widget,<core.widgets.scale.Scale object at 0x00000287EEA14CD0>
56571.949205,0.074987,parameter,sysmon,scales-4-name,F4
56571.949215,0.074987,parameter,sysmon,scales-4-failure,0
56571.949225,0.074987,parameter,sysmon,scales-4-side,0
56571.949234,0.074987,parameter,sysmon,scales-4-key,F4
56571.949244,0.074987,parameter,sysmon,scales-4-_failuretimer,
56571.949253,0.074987,parameter,sysmon,scales-4-_onfailure,0
56571.949263,0.074987,parameter,sysmon,scales-4-_milliresponsetime,0
56571.949273,0.074987,parameter,sysmon,scales-4-_freezetimer,
56571.949283,0.074987,parameter,sysmon,scales-4-_pos,5
56571.949293,0.074987,parameter,sysmon,scales-4-_zone,0
56571.949302,0.074987,parameter,sysmon,scales-4-_feedbacktimer,
56571.949313,0.074987,parameter,sysmon,scales-4-_feedbacktype,
56571.949322,0.074987,parameter,sysmon,scales-4-widget,<core.widgets.scale.Scale object at 0x00000287EC337CE0>
56571.949756,0.074987,state,sysmon,"foreground, visibility",1
56571.950065,0.074987,state,sysmon,"overdue, visibility",1
56571.95442,0.074987,event,sysmon,self,start
56571.96608,0.13412,seed_value,sysmon,,
56571.966132,0.13412,seed_output,sysmon,,-1
56571.966177,0.13412,seed_value,sysmon,,
56571.966193,0.13412,seed_output,sysmon,,1
56571.966223,0.13412,seed_value,sysmon,,
56571.966235,0.13412,seed_output,sysmon,,-1
56571.966261,0.13412,seed_value,sysmon,,
56571.966272,0.13412,seed_output,sysmon,,1
56571.966328,0.13412,state,sysmon,"foreground, visibility",0
56571.968468,0.13412,state,sysmon,"automode, text",MANUAL
56571.968556,0.13412,state,sysmon,"overdue, visibility",0
56571.96862,0.13412,state,sysmon,"scale1, arrow",4
56571.968652,0.13412,state,sysmon,"scale2, arrow",6
56571.968676,0.13412,state,sysmon,"scale3, arrow",4
56571.968698,0.13412,state,sysmon,"scale4, arrow",6
56571.969077,0.13412,aoi,communications,foreground,"(0, 480.15000000000003, 512, 0.0)"
