logtime,scenario_time,type,module,address,value
281944.421126,0,version,,,1.4.1
281944.424239,0,scenario_path,,,includes\scenarios\study\full_P07.txt
281944.426153,0,seed_value,communications,,
281944.426181,0,seed_output,communications,,ORY778
281944.426247,0,seed_value,communications,,
281944.426258,0,seed_output,communications,,PIV852
281944.426319,0,seed_value,communications,,
281944.426328,0,seed_output,communications,,DTW834
281944.426382,0,seed_value,communications,,
281944.426391,0,seed_output,communications,,LPP463
281944.426458,0,seed_value,communications,,
281944.426472,0,seed_output,communications,,QNZ454
281944.426549,0,seed_value,communications,,
281944.426563,0,seed_output,communications,,FDV753
281944.426642,0,seed_value,communications,,
281944.426655,0,seed_output,communications,,XVZ241
281944.426729,0,seed_value,communications,,
281944.426742,0,seed_output,communications,,EHA972
281944.426821,0,seed_value,communications,,
281944.426833,0,seed_output,communications,,WMS232
281944.426903,0,seed_value,communications,,
281944.426916,0,seed_output,communications,,MYA347
281944.426951,0,seed_value,communications,,
281944.426963,0,seed_output,communications,,121.427213
281944.426989,0,seed_value,communications,,
281944.427,0,seed_output,communications,,124.570675
281944.427024,0,seed_value,communications,,
281944.427036,0,seed_output,communications,,121.119007
281944.427059,0,seed_value,communications,,
281944.427068,0,seed_output,communications,,121.76255
281951.560675,0,dialog,,,OpenMATB end
281951.577811,0.017753,event,instructions,filename,study/briefing_practice.txt
281957.592931,0.017753,dialog,,,Warning end
281957.596474,0.03529,aoi,instructions,background,"(0, 864, 1536, 0)"
281957.597904,0.03529,parameter,instructions,title,
281957.597983,0.03529,parameter,instructions,taskplacement,fullscreen
281957.598026,0.03529,parameter,instructions,taskupdatetime,15
281957.598062,0.03529,parameter,instructions,taskfeedback-overdue-active,0
281957.598094,0.03529,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
281957.598125,0.03529,parameter,instructions,taskfeedback-overdue-delayms,2000
281957.59815,0.03529,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
281957.598175,0.03529,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
281957.598207,0.03529,parameter,instructions,taskfeedback-overdue-_is_visible,0
281957.598232,0.03529,parameter,instructions,boldtitle,0
281957.598256,0.03529,parameter,instructions,filename,study/briefing_practice.txt
281957.598286,0.03529,parameter,instructions,pointsize,0
281957.598309,0.03529,parameter,instructions,maxdurationsec,0
281957.598338,0.03529,parameter,instructions,response-text,Press SPACE to continue
281957.598353,0.03529,parameter,instructions,response-key,SPACE
281957.598367,0.03529,parameter,instructions,allowkeypress,1
281957.602966,0.03529,state,instructions,"background, visibility",1
281957.603013,0.03529,event,instructions,self,start
281957.609404,0.051274,state,instructions,"background, visibility",0
281957.617541,0.051274,aoi,instructions,title,"(0, 864, 1536, 0)"
281957.622898,0.051274,aoi,instructions,press_space,"(0, 864, 1536, 0)"
281957.651298,0.051274,aoi,instructions,instructions,"(0, 864, 1536, 0)"
281957.651399,0.051274,state,instructions,"background, visibility",1
281959.15994,0.051274,input,keyboard,SPACE,press
281959.360608,0.051274,input,keyboard,SPACE,release
281959.360954,0.051274,state,instructions,"background, visibility",0
281959.375632,0.066016,event,sysmon,automaticsolver,0
281959.392242,0.08228,aoi,sysmon,foreground,"(0, 820.8, 537, 432.0)"
281959.392301,0.08228,aoi,sysmon,overdue,"(0, 820.8, 537, 432.0)"
281959.401655,0.08228,aoi,sysmon,task_title,"(0, 864.0, 537, 820.8)"
281959.401841,0.08228,aoi,sysmon,automode,"(228.225, 474.12, 308.775, 452.52)"
281959.403185,0.08228,aoi,sysmon,scale1,"(40.275, 684.72, 93.975, 490.32)"
281959.404191,0.08228,aoi,sysmon,scale2,"(174.525, 684.72, 228.22500000000002, 490.32)"
281959.405086,0.08228,aoi,sysmon,scale3,"(308.775, 684.72, 362.47499999999997, 490.32)"
281959.405976,0.08228,aoi,sysmon,scale4,"(443.025, 684.72, 496.72499999999997, 490.32)"
