logtime,scenario_time,type,module,address,value
124922.380426,0,version,,,1.4.1
124922.384519,0,scenario_path,,,includes\scenarios\study\full_P08.txt
124922.387667,0,seed_value,communications,,
124922.387696,0,seed_output,communications,,HLM230
124922.387769,0,seed_value,communications,,
124922.38778,0,seed_output,communications,,SBN790
124922.387849,0,seed_value,communications,,
124922.387858,0,seed_output,communications,,PIV852
124922.387913,0,seed_value,communications,,
124922.387922,0,seed_output,communications,,DTW834
124922.387976,0,seed_value,communications,,
124922.387985,0,seed_output,communications,,LPP463
124922.388036,0,seed_value,communications,,
124922.388045,0,seed_output,communications,,QNZ454
124922.388094,0,seed_value,communications,,
124922.388106,0,seed_output,communications,,FDV753
124922.388161,0,seed_value,communications,,
124922.38817,0,seed_output,communications,,XVZ241
124922.388195,0,seed_value,communications,,
124922.388203,0,seed_output,communications,,131.006862
124922.388222,0,seed_value,communications,,
124922.388228,0,seed_output,communications,,117.39115
124922.388245,0,seed_value,communications,,
124922.388251,0,seed_output,communications,,114.57447
124922.388266,0,seed_value,communications,,
124922.388272,0,seed_output,communications,,121.427213
124940.364542,0,dialog,,,OpenMATB end
124940.385957,0.017395,event,instructions,filename,study/briefing_practice.txt
124960.332583,0.017395,dialog,,,Warning end
124960.335715,0.034554,aoi,instructions,background,"(0, 864, 1536, 0)"
124960.336388,0.034554,parameter,instructions,title,
124960.336408,0.034554,parameter,instructions,taskplacement,fullscreen
124960.336417,0.034554,parameter,instructions,taskupdatetime,15
124960.336428,0.034554,parameter,instructions,taskfeedback-overdue-active,0
124960.336437,0.034554,parameter,instructions,taskfeedback-overdue-color,"(241, 100, 100, 255)"
124960.336446,0.034554,parameter,instructions,taskfeedback-overdue-delayms,2000
124960.336452,0.034554,parameter,instructions,taskfeedback-overdue-blinkdurationms,1000
124960.336459,0.034554,parameter,instructions,taskfeedback-overdue-_nexttoggletime,0
124960.336466,0.034554,parameter,instructions,taskfeedback-overdue-_is_visible,0
124960.336472,0.034554,parameter,instructions,boldtitle,0
124960.336479,0.034554,parameter,instructions,filename,study/briefing_practice.txt
124960.336487,0.034554,parameter,instructions,pointsize,0
124960.336493,0.034554,parameter,instructions,maxdurationsec,0
124960.336499,0.034554,parameter,instructions,response-text,Press SPACE to continue
124960.336506,0.034554,parameter,instructions,response-key,SPACE
124960.336513,0.034554,parameter,instructions,allowkeypress,1
124960.340478,0.034554,state,instructions,"background, visibility",1
124960.340526,0.034554,event,instructions,self,start
124960.340598,0.034554,state,instructions,"background, visibility",0
124960.340619,0.034554,event,instructions,self,stop
124960.340637,0.034554,manual,,,end
